symbol,source_name,correlation,n_observations,lag_months
UPS,United Parcel Service,0.18794435506913085,55,2
AA,American,-0.015088207648001863,55,2
JBLU,JetBlue,-0.031482909526713204,55,2
SKYW,SkyWest,-0.03748056521692145,55,2
ULCC,Frontier,-0.038512854748293406,52,2
LUV,Southwest,-0.04576713488127589,55,2
ALK,Alaska,-0.06573250784234898,55,2
UAL,United,-0.12510730472732937,55,2
ALGT,Allegiant Air,-0.14574736983698838,55,2
DAL,Delta,-0.1554969215819287,55,2
