lag_months,mean_correlation,median_correlation,std_correlation
1,-0.07161060407895284,-0.08185602750864152,0.08174329660828852
2,-0.04724714209406704,-0.04213999481478464,0.09695121106824811
3,-0.1071217073488028,-0.09329739686661896,0.13658685087316347
4,-0.05369210104186012,-0.029938324743485786,0.13033553567096243
5,-0.0646104877246353,-0.06312554396387134,0.09385661453586626
6,-0.03604432575058205,-0.0177249641765507,0.11801026244816643
7,0.02427954875952701,0.017540470711433685,0.1035490356610874
