quarter,ticker,name,weight,value_usd,emp_symbol,total_employees,emp_pct_change,price_return
2024_Q3,SKYW,SkyWest Inc,3.0964708048,34097951.16,SKYW,14374.0,2.7595081498427154,3.5944925063969846
2024_Q3,LUV,Southwest Airlines Co,9.1509193891,100768785.52,LUV,74650.0,-0.7524994681982533,3.5651869975533046
2024_Q2,ALK,Alaska Air Group Inc,3.0126907214,34733576.8,ALK,20352.0,1.2990891443930064,-6.024656896952784
2024_Q2,ALGT,Allegiant Travel Co,2.8402540968,32745539.76,ALGT,6493.0,0.68227632191038,-33.21366839516021
2024_Q2,AAL,American Airlines Group Inc,10.0122117497,115431671.52,AA,108890.0,0.7000638103076717,17.727138206569993
2024_Q2,DAL,Delta Air Lines Inc,9.6149969107,110852146.64,DAL,106298.0,1.3868223265041335,-0.8982661374556056
2024_Q2,LUV,Southwest Airlines Co,10.2253725873,117889221.6,LUV,75216.0,-0.5802656797303518,-1.9869818430969577
2024_Q2,SKYW,SkyWest Inc,3.2175265901,37095147.58,SKYW,13988.0,2.6868301277345408,18.80428488708743
2024_Q2,UAL,United Airlines Holdings Inc,9.3066381886,107297051.76,UAL,105599.0,1.7507852999556706,1.6290726817042467
2024_Q2,ULCC,Frontier Group Holdings Inc,2.8045554591,32333967.02,ULCC,8128.0,5.62703053931124,-39.21085080147966
2024_Q2,JBLU,JetBlue Airways Corp,3.3327068226,38423070.63,JBLU,22946.0,0.6094620072784718,-17.924528301886788
2024_Q1,JBLU,JetBlue Airways Corp,3.1015524388,41908122.9,JBLU,22807.0,-1.6558147557242053,33.6936936936937
2024_Q1,SKYW,SkyWest Inc,2.9646462289,40058248.56,SKYW,13622.0,3.8183065315143594,32.33716475095785
2024_Q1,LUV,Southwest Airlines Co,8.6831784767,117326957.37,LUV,75655.0,0.11910275921391822,1.07340720221607
2024_Q1,ALGT,Allegiant Travel Co,2.9815470786,40286612.55,ALGT,6449.0,6.419141914191417,-8.95775329863213
2024_Q1,AAL,American Airlines Group Inc,10.696104313,144525576.45,AA,108133.0,0.4011104817968292,-0.6176470588235339
2024_Q1,DAL,Delta Air Lines Inc,11.6933607311,158000487.92,DAL,104844.0,2.8164594202330084,18.990802883420344
2024_Q1,ULCC,Frontier Group Holdings Inc,2.9073186806,39283639.72,ULCC,7695.0,6.357982031789899,48.53479853479852
2024_Q1,ALK,Alaska Air Group Inc,3.2936802669,44504150.79,ALK,20091.0,-0.2631056393963438,10.033273611466598
2024_Q1,UAL,United Airlines Holdings Inc,11.1942428127,151256415.24,UAL,103782.0,1.176699975627593,16.044595249636462
2023_Q4,JBLU,JetBlue Airways Corp,3.2181646871,54286364.85,JBLU,23191.0,-1.176119657391228,20.65217391304348
2023_Q4,SKYW,SkyWest Inc,2.9637992446,49995541.8,SKYW,13121.0,-1.3829387448327735,24.463519313304726
2023_Q4,LUV,Southwest Airlines Co,10.632381707,179354821.36,LUV,75565.0,0.9134493396188548,6.686368673808629
2023_Q4,UAL,United Airlines Holdings Inc,10.1748851035,171637432.74,UAL,102575.0,1.1867182259400977,-2.4586288416075686
2023_Q4,DAL,Delta Air Lines Inc,10.5757962942,178400297.07,DAL,101972.0,0.34145141451413785,8.72972972972972
2023_Q4,ALK,Alaska Air Group Inc,3.2141574232,54218767.38,ALK,20144.0,-0.1338555351742654,5.366774541531827
2023_Q4,ALGT,Allegiant Travel Co,3.1687744194,53453213.55,ALGT,6060.0,1.354741595584552,7.481134530314848
2023_Q4,AAL,American Airlines Group Inc,10.3243916488,174159418.92,AA,107701.0,-0.24267573150060784,16.99931176875431
2023_Q4,ULCC,Frontier Group Holdings Inc,3.3933015295,57240701.7,ULCC,7235.0,3.66814729903997,12.809917355371914
2023_Q3,UAL,United Airlines Holdings Inc,9.6676819082,133445036.7,UAL,101372.0,2.5710556404367146,-22.90869327501367
2023_Q3,DAL,Delta Air Lines Inc,9.8131020245,135452301.0,DAL,101625.0,1.7491339434109632,-22.170803533866213
2023_Q3,ULCC,Frontier Group Holdings Inc,2.5169792385,34742391.2,ULCC,6979.0,3.9314966492926207,-49.9482936918304
2023_Q3,ALK,Alaska Air Group Inc,3.0456286741,42039450.0,ALK,20171.0,0.11415525114155667,-30.27453930048891
2023_Q3,ALGT,Allegiant Travel Co,2.9189485302,40290857.46,ALGT,5979.0,2.891068662880736,-39.13525498891352
2023_Q3,AAL,American Airlines Group Inc,9.9060558357,136735361.91,AA,107963.0,-0.3231375735137987,-14.35307987032125
2023_Q3,JBLU,JetBlue Airways Corp,2.6251951591,36236118.2,JBLU,23467.0,-0.5761979409397155,-48.08126410835214
2023_Q3,SKYW,SkyWest Inc,3.1824937322,43928627.04,SKYW,13305.0,-0.3743916136278558,2.996070726915523
2023_Q3,LUV,Southwest Airlines Co,9.7505414669,134588764.53,LUV,74881.0,3.9912786256891764,-25.24164595415631
2023_Q2,ALK,Alaska Air Group Inc,2.9728669356,57648183.6,ALK,20148.0,2.1496653822753897,26.739752144899896
2023_Q2,SKYW,SkyWest Inc,3.1670786766,61414229.76,SKYW,13355.0,1.8765733465557988,83.6716283265674
2023_Q2,AAL,American Airlines Group Inc,10.6664035093,206836969.56,AA,108313.0,2.4217036084423826,-20.277255639097746
2023_Q2,DAL,Delta Air Lines Inc,11.2049808374,217280761.82,DAL,99878.0,3.0020522445780573,36.139747995418084
2023_Q2,UAL,United Airlines Holdings Inc,9.9579849818,193099711.14,UAL,98831.0,3.5183090330149103,24.0
2023_Q2,ULCC,Frontier Group Holdings Inc,2.7802096563,53912280.7,ULCC,6715.0,1.619249394673128,-1.7276422764227584
2023_Q2,LUV,Southwest Airlines Co,10.5846289723,205251243.18,LUV,72007.0,1.994362526381388,11.278426551936093
2023_Q2,ALGT,Allegiant Travel Co,3.1042118091,60195150.4,ALGT,5811.0,2.922422954303938,37.29071537290716
2023_Q2,JBLU,JetBlue Airways Corp,3.203139873,62113508.44,JBLU,23603.0,0.9797210575853477,21.703296703296694
2023_Q1,ALK,Alaska Air Group Inc,3.7551089284,68450061.32,ALK,19724.0,0.895186454550112,-2.282254308337206
2023_Q1,ALGT,Allegiant Travel Co,3.8513038007,70203551.04,ALGT,5646.0,0.2841918294848922,35.28460067657011
2023_Q1,AAL,American Airlines Group Inc,10.6832795276,194740326.5,AA,105752.0,1.8383521277312909,-6.399824059819659
2023_Q1,DAL,Delta Air Lines Inc,10.579780709,192853696.68,DAL,96967.0,4.068644286082246,6.2690200852099975
