lag,correlation,p_value,n
0,-0.06684357274620695,0.7794787762245273,20
1,-0.5302827395796268,0.019514001995359576,19
2,-0.18733816896685923,0.4566483839892487,18
3,-0.012118397656703826,0.9631820327420042,17
4,-0.11449559208301416,0.6728607193391056,16
