quarter,close,date,jets_return,total_industry_emp,industry_emp_change,industry_emp_pct_change,emp_lag_1,emp_lag_2,emp_lag_3,emp_lag_4
2021_Q1,26.91,2021-03-31,,350093.0,0.0,,,,,
2021_Q2,24.18,2021-06-30,-10.144927536231885,360891.0,5620.0,3.0843233083780675,,,,
2021_Q3,23.63,2021-09-30,-2.2746071133167955,370920.0,10029.0,2.7789554186721244,3.0843233083780675,,,
2021_Q4,21.09,2021-12-31,-10.749047820567071,383517.0,12597.0,3.396150113231955,2.7789554186721244,3.0843233083780675,,
2022_Q1,21.76,2022-03-31,3.176861071597914,400504.0,16987.0,4.42926910671495,3.396150113231955,2.7789554186721244,3.0843233083780675,
2022_Q2,16.5,2022-06-30,-24.17279411764707,418805.0,18301.0,4.5694924395262015,4.42926910671495,3.396150113231955,2.7789554186721244,3.0843233083780675
2022_Q3,15.01,2022-09-30,-9.030303030303033,426743.0,7938.0,1.89539284392497,4.5694924395262015,4.42926910671495,3.396150113231955,2.7789554186721244
2022_Q4,17.08,2022-12-30,13.79080612924717,431634.0,4891.0,1.1461230764183705,1.89539284392497,4.5694924395262015,4.42926910671495,3.396150113231955
2023_Q1,18.63,2023-03-31,9.074941451990636,444342.0,12708.0,2.944161025313119,1.1461230764183705,1.89539284392497,4.5694924395262015,4.42926910671495
2023_Q2,21.42,2023-06-30,14.975845410628041,455673.0,11331.0,2.5500627894729844,2.944161025313119,1.1461230764183705,1.89539284392497,4.5694924395262015
2023_Q3,17.03,2023-09-29,-20.494864612511677,462674.0,7001.0,1.5364087843694918,2.5500627894729844,2.944161025313119,1.1461230764183705,1.89539284392497
2023_Q4,19.03,2023-12-29,11.743981209630071,464271.0,1597.0,0.34516743970915975,1.5364087843694918,2.5500627894729844,2.944161025313119,1.1461230764183705
2024_Q1,21.01,2024-03-28,10.404624277456653,469743.0,5472.0,1.1786219686346966,0.34516743970915975,1.5364087843694918,2.5500627894729844,2.944161025313119
2024_Q2,19.66,2024-06-28,-6.425511661113759,474595.0,4852.0,1.032905226900671,1.1786219686346966,0.34516743970915975,1.5364087843694918,2.5500627894729844
2024_Q3,20.72,2024-09-30,5.391658189216675,470884.0,-3711.0,-0.7819298559824661,1.032905226900671,1.1786219686346966,0.34516743970915975,1.5364087843694918
2024_Q4,25.35,2024-12-31,22.34555984555986,471690.0,806.0,0.1711674212757197,-0.7819298559824661,1.032905226900671,1.1786219686346966,0.34516743970915975
2025_Q1,20.77,2025-03-31,-18.06706114398423,474911.0,3221.0,0.6828637452564124,0.1711674212757197,-0.7819298559824661,1.032905226900671,1.1786219686346966
2025_Q2,22.97,2025-06-30,10.592200288878196,479615.0,4704.0,0.9905013781529526,0.6828637452564124,0.1711674212757197,-0.7819298559824661,1.032905226900671
2025_Q3,24.65,2025-09-30,7.313887679582054,476766.0,-2849.0,-0.5940181186993687,0.9905013781529526,0.6828637452564124,0.1711674212757197,-0.7819298559824661
2025_Q4,28.07,2025-12-31,13.874239350912788,478373.0,1607.0,0.3370626261100851,-0.5940181186993687,0.9905013781529526,0.6828637452564124,0.1711674212757197
2026_Q1,29.01,2026-01-16,3.348770929818312,0.0,0.0,-100.0,0.3370626261100851,-0.5940181186993687,0.9905013781529526,0.6828637452564124
