symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name,daily_return,signal,position_size,risk_gate,strategy_return,active_signal,cum_strategy,cum_buyhold
SKYW,2025-01-02,100.28,102.07,99.86,101.08,231406,100.8225,0.8,0.79777,NASDAQ,,SkyWest,0.9487666034155628,CASH,0.0,,0.0,CASH,1.0,1.0094876660341556
SKYW,2025-01-03,101.35,103.73,99.65,103.73,285900,102.115,2.38,2.35,NASDAQ,,SkyWest,2.621685793430961,CASH,0.0,,0.0,CASH,1.0,1.035953260761011
SKYW,2025-01-06,104.33,107.56,104.33,107.51,360350,105.9325,3.18,3.05,NASDAQ,,SkyWest,3.6440759664513545,CASH,0.0,,0.0,CASH,1.0,1.073704184560072
SKYW,2025-01-07,107.65,108.94,104.06,107.84,396183,107.1225,0.19,0.1765,NASDAQ,,SkyWest,0.30694819086596326,CASH,0.0,,0.0,CASH,1.0,1.0769999001298314
SKYW,2025-01-08,107.07,111.09,105.6,111.04,410806,108.7,3.97,3.71,NASDAQ,,SkyWest,2.9673590504451175,CASH,0.0,,0.0,CASH,1.0,1.1089583541396189
SKYW,2025-01-10,111.04,113.04,109.36,111.08,327549,111.13,0.04,0.03602305,NASDAQ,,SkyWest,0.03602305475502998,CASH,0.0,,0.0,CASH,1.0,1.109357834814741
SKYW,2025-01-13,108.83,108.99,103.77,106.52,344481,107.0275,-2.31,-2.12,NASDAQ,,SkyWest,-4.105149441843714,CASH,0.0,,0.0,CASH,1.0,1.0638170378507943
SKYW,2025-01-14,107.2,110.09,106.95,109.0,320100,108.31,1.8,1.68,NASDAQ,,SkyWest,2.328201276755548,CASH,0.0,,0.0,CASH,1.0,1.0885848397083795
SKYW,2025-01-15,110.5,111.49,109.05,109.9,199169,110.235,-0.6,-0.54299,NASDAQ,,SkyWest,0.8256880733944927,CASH,0.0,,0.0,CASH,1.0,1.097573154898632
SKYW,2025-01-16,110.04,110.29,108.64,108.97,400835,109.485,-1.07,-0.97237,NASDAQ,,SkyWest,-0.8462238398544208,CASH,0.0,,0.0,CASH,1.0,1.0882852292020375
SKYW,2025-01-17,110.8,110.8,109.07,109.29,260500,109.99,-1.51,-1.36,NASDAQ,,SkyWest,0.29365880517573384,CASH,0.0,,0.0,CASH,1.0,1.0914810746030161
SKYW,2025-01-21,110.98,114.91,110.49,114.8,310300,112.795,3.82,3.44,NASDAQ,,SkyWest,5.0416323542867625,CASH,0.0,,0.0,CASH,1.0,1.1465095376011187
SKYW,2025-01-22,116.53,117.07,114.11,116.06,408038,115.9425,-0.47,-0.40333,NASDAQ,,SkyWest,1.097560975609757,CASH,0.0,,0.0,CASH,1.0,1.1590931788674725
SKYW,2025-01-23,115.67,116.28,113.68,114.22,255423,114.9625,-1.45,-1.25,NASDAQ,,SkyWest,-1.5853868688609385,CASH,0.0,,0.0,CASH,1.0,1.1407170678118448
SKYW,2025-01-24,113.42,114.73,111.5,114.11,211857,113.44,0.69,0.60836,NASDAQ,,SkyWest,-0.09630537559096597,CASH,0.0,,0.0,CASH,1.0,1.1396184959552584
SKYW,2025-01-27,112.5,114.4,111.13,113.51,346826,112.885,1.01,0.89778,NASDAQ,,SkyWest,-0.5258084304618271,CASH,0.0,,0.0,CASH,1.0,1.1336262858284234
SKYW,2025-01-28,112.49,115.29,110.22,114.7,264621,113.175,2.21,1.96,NASDAQ,,SkyWest,1.0483657827504267,CASH,0.0,,0.0,CASH,1.0,1.145510835913313
SKYW,2025-01-29,114.97,119.36,114.71,115.83,482225,116.2175,0.86,0.74802,NASDAQ,,SkyWest,0.985178727114211,CASH,0.0,,0.0,CASH,1.0,1.1567961649855192
SKYW,2025-01-30,115.64,117.51,112.0,116.76,494535,115.4775,1.12,0.96852,NASDAQ,,SkyWest,0.8029008029008189,CASH,0.0,,0.0,CASH,1.0,1.1660840906821137
SKYW,2025-01-31,122.0,135.57,120.02,120.92,1206147,124.6275,-1.08,-0.88525,NASDAQ,,SkyWest,3.5628639945186613,CASH,0.0,,0.0,CASH,1.0,1.207630080894837
SKYW,2025-02-03,116.51,120.67,113.15,118.19,609787,117.13,1.68,1.44,NASDAQ,,SkyWest,-2.257691035395304,LONG,1.0,OK,-2.257691035395304,LONG,0.977423089646047,1.1803655248177372
SKYW,2025-02-04,119.27,121.55,118.16,118.96,380814,119.485,-0.31,-0.25991,NASDAQ,,SkyWest,0.6514933581521332,LONG,1.0,OK,0.6514933581521332,LONG,0.9837909361561363,1.1880555278138423
SKYW,2025-02-05,118.96,119.96,117.13,118.3,554354,118.5875,-0.66,-0.55481,NASDAQ,,SkyWest,-0.5548083389374514,LONG,1.0,OK,-0.5548083389374514,LONG,0.9783327820046313,1.1814640966743237
SKYW,2025-02-06,119.0,119.77,114.85,116.17,371010,117.4475,-2.83,-2.38,NASDAQ,,SkyWest,-1.8005071851225685,CASH,0.0,,0.0,CASH,0.9783327820046313,1.1601917507240591
SKYW,2025-02-07,116.31,117.73,115.47,116.76,296745,116.5675,0.45,0.3869,NASDAQ,,SkyWest,0.5078763880519865,CASH,0.0,,0.0,CASH,0.9783327820046313,1.1660840906821135
SKYW,2025-02-10,116.81,116.81,111.34,113.32,576729,114.57,-3.49,-2.99,NASDAQ,,SkyWest,-2.9462144570058357,CASH,0.0,,0.0,CASH,0.9783327820046313,1.131728752621592
SKYW,2025-02-11,112.23,113.36,109.46,110.16,314933,111.3025,-2.07,-1.84,NASDAQ,,SkyWest,-2.7885633603953353,CASH,0.0,,0.0,CASH,0.9783327820046313,1.1001697792869272
