date,close,prediction,actual,signal,strategy_return,cum_strategy,cum_buyhold
2023-08-31,88.84,-5.436996145542013,-28.181083265966045,-1,28.181083265966045,1.2818108326596604,0.7181891673403396
2023-09-29,76.86,11.72969805413292,-13.484916704187311,1,-13.484916704187311,1.1089597095702555,0.6213419563459983
2023-10-31,66.62,-3.218236559111363,-13.322924798334624,-1,13.322924798334624,1.2567055777201308,0.5385610347615198
2023-11-30,68.49,-16.728873600301338,2.806964875412765,-1,-2.806964875412765,1.2214302935661736,0.5536782538399352
2023-12-29,82.61,-1.9239570366901133,20.61614834282377,-1,-20.61614834282377,0.9696184123403834,0.6678253839935325
2024-01-31,78.4,-9.688500096356815,-5.096235322600162,-1,5.096235322600162,1.0190324483645088,0.633791430881164
2024-02-29,72.78,-14.958220044610899,-7.168367346938775,-1,7.168367346938775,1.092080437647781,0.5883589329021826
2024-03-28,75.21,-23.589783441600396,3.338829348722161,-1,-3.338829348722161,1.0556177354839436,0.6080032336297492
2024-04-30,54.56,4.997403310419843,-27.456455258609214,1,-27.456455258609214,0.7657825242388508,0.44106709781729986
2024-05-31,53.2,-8.237526694440271,-2.4926686217008776,-1,2.4926686217008776,0.7848709449310216,0.4300727566693613
2024-06-28,50.23,2.1350733051258404,-5.5827067669173,1,-5.5827067669173,0.7410539015767897,0.4060630557801131
2024-07-31,56.07,3.2626912282121476,11.626518017121246,1,11.626518017121246,0.8272126669601951,0.45327405012126104
2024-08-30,42.08,-13.975199803247236,-24.950954164437313,-1,24.950954164437313,1.033610120335853,0.3401778496362166
2024-09-30,55.06,17.97819615394158,30.846007604562754,1,30.846007604562754,1.3524375766561805,0.44510913500404203
2024-10-31,65.01,15.03667994143919,18.07119505993462,1,18.07119505993462,1.5968392091975716,0.5255456750202102
2024-11-29,81.84,8.89971282216305,25.888324873096447,1,25.888324873096447,2.0102341313756233,0.6616006467259499
2024-12-31,94.12,-11.425737440903115,15.004887585532757,-1,-15.004887585532757,1.7086007597567001,0.7608730800323363
2025-01-31,102.43,11.448162594979493,8.829154271143214,1,8.829154271143214,1.8594557567135441,0.8280517380759903
2025-02-28,73.5,-17.6993684684856,-28.243678609782297,-1,28.243678609782297,2.384634464530813,0.5941794664510913
2025-03-31,51.65,0.09905265274002795,-29.727891156462583,1,-29.727891156462583,1.6757329264355987,0.41754244139046076
2025-04-30,46.93,0.5090180554810386,-9.138431752178121,1,-9.138431752178121,1.5225972166045043,0.37938561034761514
2025-05-30,55.58,-19.105463507576584,18.431706797357773,-1,-18.431706797357773,1.2419565619352317,0.4493128536782538
2025-06-30,54.95,9.036745414257894,-1.133501259445835,1,-1.133501259445835,1.2278789686639258,0.44421988682295876
2025-07-31,51.64,6.811909962097202,-6.023657870791633,1,-6.023657870791633,1.153915740524206,0.41746160064672594
2025-08-29,62.66,-6.51173848403787,21.340046475600303,-1,-21.340046475600303,0.907669585207073,0.5065481002425222
2025-09-30,60.77,0.3833350025912804,-3.0162783274816363,1,-3.0162783274816363,0.8802917442233296,0.491269199676637
2025-10-31,62.18,14.11346295247622,2.320223794635501,1,2.320223794635501,0.9007164827350111,0.5026677445432497
