date,close,actual_return,predicted_return,signal,strategy_return,cumulative_strategy,cumulative_buyhold
2024-02-29,64.22,20.57829515583929,2.0426304582813986,LONG,20.57829515583929,1.2057829515583929,1.2057829515583929
2024-03-28,69.08,7.567735907816875,4.322507697464044,LONG,7.567735907816875,1.2970334209538115,1.2970334209538115
2024-04-30,73.03,5.718008106543149,3.2065552939419035,LONG,5.718008106543149,1.3711978971085244,1.3711978971085244
2024-05-31,74.67,2.245652471587012,1.9630466395557598,LONG,2.245652471587012,1.401990236575291,1.401990236575291
2024-06-28,82.07,9.910271862863262,-1.7715526835196278,SHORT,-9.910271862863262,1.26304919263988,1.540931280510702
2024-07-31,79.94,-2.595345436822216,2.592453564142698,LONG,-2.595345436822216,1.230268703053881,1.5009387908374014
2024-08-30,77.54,-3.0022516887665662,-0.1915826153751352,SHORT,3.0022516887665662,1.2672044659676829,1.455876830642133
2024-09-30,85.02,9.646633995357213,-4.8307791168594445,SHORT,-9.646633995357213,1.1449618891629596,1.5963199399173862
2024-10-31,95.2,11.973653258056927,4.198017494001997,LONG,11.973653258056927,1.2820556557082305,1.7874577544123167
2024-11-29,114.74,20.525210084033606,15.29341613962589,LONG,20.525210084033606,1.5452002724365794,2.154337213668794
2024-12-31,100.13,-12.733135785253612,4.461827889906064,LONG,-12.733135785253612,1.348447823593121,1.8800225309800973
2025-01-31,120.92,20.76300808948368,5.275059520639013,LONG,20.76300808948368,1.6284261542882272,2.2703717611716105
2025-02-28,98.91,-18.20211710221634,-1.4649732772589372,SHORT,18.20211710221634,1.9248341898148884,1.8571160345475024
2025-03-31,87.37,-11.667172176726304,-7.843447455701757,SHORT,11.667172176726304,2.149407908857086,1.6404431092752534
2025-04-30,89.17,2.060203731257859,-12.028242355510235,SHORT,-2.060203731257859,2.105125726918861,1.6742395794217046
2025-05-30,101.45,13.771447796344072,-0.3144891985920535,SHORT,-13.771447796344072,1.8152194363888212,1.9048066090874953
2025-06-30,102.97,1.4982750123213373,3.371069485090358,LONG,1.4982750123213373,1.8424164156230352,1.9333458505444987
2025-07-31,115.96,12.615324851898603,6.895085698526511,LONG,12.615324851898603,2.0748432315785874,2.177243710101389
2025-08-29,121.4,4.691272852707851,6.445275814126138,LONG,4.691272852707851,2.1721797888378798,2.279384153210665
2025-09-30,100.62,-17.116968698517297,-4.529218880062026,SHORT,17.116968698517297,2.543991123368779,1.8892226811866317
2025-10-31,100.48,-0.1391373484396774,-6.107462760945382,SHORT,0.1391373484396774,2.547530765162375,1.8865940668419077
