symbol,source_name,correlation,n_observations,lag_months
SKYW,SkyWest,0.06952229590228287,56,1
AA,American,0.01705260189729553,56,1
UPS,United Parcel Service,-0.008960425041177333,56,1
ALK,Alaska,-0.04775137528192378,56,1
UAL,United,-0.07714620669366798,56,1
LUV,Southwest,-0.08656584832361507,56,1
DAL,Delta,-0.09095877507718478,56,1
ALGT,Allegiant Air,-0.12972768256852607,56,1
JBLU,JetBlue,-0.1776829934282695,56,1
ULCC,Frontier,-0.18388763217474222,53,1
