symbol,source_name,correlation,n_observations,lag_months
ULCC,Frontier,0.21049591250400296,48,6
AA,American,0.01707659900978572,51,6
DAL,Delta,0.013133306275773343,51,6
ALGT,Allegiant Air,-0.01429076532028864,51,6
ALK,Alaska,-0.014427465765261244,51,6
UPS,United Parcel Service,-0.021022462587840154,51,6
SKYW,SkyWest,-0.05924787409174668,51,6
LUV,Southwest,-0.11715273331265981,51,6
JBLU,JetBlue,-0.13674810476036248,51,6
UAL,United,-0.23825966945722352,51,6
