lag,coefficient,intercept,r2,adj_r2,rmse,mae,p_value,cv_r2_mean,cv_r2_std,significant
0,-0.7854188201930284,0.6579182312733938,0.00414324094345897,0.0021314091069812857,14.232063212774536,11.04267886559071,0.1518975712789675,-0.011422249258312766,0.02217550376037151,False
1,-0.8137648679299185,0.6944929551768478,0.004632523233527808,0.002621679846120828,14.228566549248038,11.064480260543185,0.1296986853614758,-0.013183676184966363,0.02369624892251143,False
2,-0.7055324467953757,0.6566813629554127,0.003520982026391839,0.0015078931011925922,14.236508955185009,11.071169396856451,0.1866076043587194,-0.010070785525271742,0.01902077464020834,False
3,-1.3982529099441077,1.0349080455939608,0.014142344484800784,0.012150712857497359,14.160432983377774,10.955907868531535,0.007956123315235843,-0.00891118978897638,0.023434110854390445,True
4,-0.6090576613307153,0.6392849673723998,0.002935082999322214,0.0009208104397248063,14.240693654947709,11.050148636886487,0.22796176804616863,-0.018857027388306923,0.02337089699744116,False
5,-0.5785830853610795,0.6213378338550279,0.0026844601636476506,0.0006696812952913245,14.242483317142169,11.039831466062388,0.248938421987959,-0.013494173242903095,0.012644112510568397,False
6,-0.2943647937090788,0.4635808238407168,0.0007219891520858779,-0.0012967543041726426,14.256489277710807,11.069760437890995,0.550091773303242,-0.016985949676581225,0.015528011917906922,False
7,0.29722122517577104,0.1322453165234332,0.0007370436021871818,-0.0012816694410406893,14.256381887969178,11.07128125760854,0.5459610865113422,-0.014131259735392976,0.014678943273871405,False
