feature,coefficient,std_error,t_statistic,p_value,significant
intercept,1.1049865527721265,0.7884020497684379,1.4015521054221929,0.1616847078753934,False
emp_change_pct,-0.21555703862019282,0.6067245140805019,-0.3552799229595528,0.7225334000379747,False
emp_lag_1,-0.2939566620391894,0.5987798117962799,-0.49092614054129285,0.6236993763173775,False
emp_lag_2,-0.21532030479476275,0.600679497883542,-0.35846121859232893,0.7201532011175664,False
emp_lag_3,-1.355112660619449,0.599623156438188,-2.259940507749788,0.024264994251635707,True
emp_lag_4,-0.3219996780616118,0.5770919517151185,-0.5579694485508385,0.5771211242725653,False
emp_lag_5,-0.23751849847954656,0.5606011427877255,-0.42368536264201684,0.6719819706335364,False
emp_lag_6,0.14075731591357224,0.54222863266113,0.25959034148154186,0.7952892637776567,False
emp_lag_7,0.8648108585907054,0.5372579538782061,1.6096753009388747,0.1081154083989957,False
