symbol,source_name,lag,coefficient,r2,adj_r2,p_value,n_obs,significant
AA,American,0,-1.1101158896193934,0.002042234908282481,-0.01874855186446167,0.7553246058186732,50,False
AA,American,1,-0.8901351966205096,0.0012930159274364694,-0.019513379574075174,0.8042007593976622,50,False
AA,American,2,-1.8479133729822577,0.005531401207250042,-0.015186694600932027,0.6077347411540707,50,False
AA,American,3,-8.015884456350506,0.0985323603386945,0.07975178451241738,0.026425650175966393,50,True
AA,American,4,-3.5134612439030386,0.020931700506570894,0.0005344442671244565,0.31613176396045334,50,False
AA,American,5,-4.911146952899536,0.054102719090556306,0.03439652573827634,0.10405366525277282,50,False
AA,American,6,0.05318900872869459,6.3196577976265544e-06,-0.02082688201599825,0.9861762894098274,50,False
AA,American,7,2.4446995154852047,0.013726990891984703,-0.006820363464432377,0.41776532871322936,50,False
ALGT,Allegiant Air,0,-2.7699927142409737,0.056650934473645775,0.03699782894184678,0.0960195930483737,50,False
ALGT,Allegiant Air,1,-1.4100552718852724,0.014411540038398729,-0.006121552877467851,0.406308728727251,50,False
ALGT,Allegiant Air,2,-1.842715151117737,0.02449726057612467,0.004174286838127372,0.27772261478499216,50,False
ALGT,Allegiant Air,3,-4.986492456792204,0.17009099631603786,0.15280122540595542,0.002918389934430038,50,True
ALGT,Allegiant Air,4,-4.102585494362657,0.11673135604780394,0.09832992596546664,0.015167146509488931,50,True
ALGT,Allegiant Air,5,-1.562508815006432,0.01624209548874056,-0.004252860855243901,0.3777878888246967,50,False
ALGT,Allegiant Air,6,-0.1646849017681753,0.000180448703115621,-0.020649125282236058,0.9262307691422058,50,False
ALGT,Allegiant Air,7,0.2782368104330537,0.0005136682408007909,-0.02030896367084911,0.8758541017163266,50,False
ALK,Alaska,0,-1.963899723240354,0.02483006197304105,0.0045140215974794895,0.2744417975328954,50,False
ALK,Alaska,1,-0.46078002080434605,0.0020729036288562597,-0.018717244212209216,0.7535515730071795,50,False
ALK,Alaska,2,-0.8020127652931996,0.0062960208969946585,-0.014406145334317833,0.5838669436700672,50,False
ALK,Alaska,3,-1.4359716443493087,0.020178947316006557,-0.00023399128157652882,0.3250860836254753,50,False
ALK,Alaska,4,-0.1200564681030491,0.00014104971252804077,-0.020689345085127542,0.9347597613000822,50,False
ALK,Alaska,5,-0.3636674613487808,0.0012960534852977101,-0.019510278733758435,0.8039754405635704,50,False
ALK,Alaska,6,-0.1532639626242491,0.00023221275010221198,-0.02059628281760406,0.9163493639811117,50,False
ALK,Alaska,7,1.175928396513533,0.013650759603356155,-0.006898182904907513,0.4190701149233449,50,False
DAL,Delta,0,-0.41728312459742967,0.003994676623085169,-0.016755434280600445,0.6628015038549468,50,False
DAL,Delta,1,-0.2252028648557743,0.0011754254384377383,-0.01963341986492817,0.8131489827879335,50,False
DAL,Delta,2,-0.8652908256424316,0.017565546298319745,-0.0029018381537986304,0.35887159004896596,50,False
