symbol,source_name,correlation,n_observations,lag_months
ULCC,Frontier,0.02099633263221179,51,3
UPS,United Parcel Service,0.019961433096884813,54,3
UAL,United,-0.0030682330070499067,54,3
SKYW,SkyWest,-0.0032921118318008837,54,3
JBLU,JetBlue,-0.08648959683892392,54,3
LUV,Southwest,-0.100105196894314,54,3
DAL,Delta,-0.11665286522163192,54,3
ALK,Alaska,-0.1215514750131401,54,3
AA,American,-0.2956766525534195,54,3
ALGT,Allegiant Air,-0.38533870785684426,54,3
