holder_name,cik,form,filing_date,accession_number,primary_document
Bridgewater,1350694,13F-HR/A,2009-08-14,0000914121-09-001100,bd033108-13fa1.txt
Bridgewater,1350694,13F-HR/A,2009-08-14,0000914121-09-001094,bd123105-13fa1.txt
Bridgewater,1350694,13F-HR/A,2009-08-14,0000914121-09-001096,bd033106-13fa1.txt
Bridgewater,1350694,13F-HR/A,2009-08-14,0000914121-09-001098,bd123107-13fa1.txt
Bridgewater,1350694,13F-HR/A,2009-08-14,0000914121-09-001104,bd093008-13fa1.txt
Bridgewater,1350694,13F-HR/A,2009-08-14,0000914121-09-001102,bd063008-13fa3.txt
Bridgewater,1350694,13F-HR/A,2009-08-14,0000914121-09-001106,bd123108-13fa1.txt
Bridgewater,1350694,13F-HR/A,2009-08-14,0000914121-09-001108,bd033109-13fa1.txt
Bridgewater,1350694,13F-HR,2009-08-14,0000914121-09-001110,bd063009-13f.txt
Bridgewater,1350694,13F-HR,2009-05-04,0000914121-09-000832,bd033109-13f.txt
Bridgewater,1350694,13F-HR,2009-02-05,0000914121-09-000334,bd123108-13f.txt
Bridgewater,1350694,13F-HR,2008-11-07,0000914121-08-000779,bd110608-13f.txt
Bridgewater,1350694,13F-HR/A,2008-07-17,0000914121-08-000647,bd90872630-13fa2.txt
Bridgewater,1350694,13F-HR/A,2008-07-16,0000914121-08-000643,bd90872-13fa.txt
Bridgewater,1350694,13F-HR,2008-07-15,0000914121-08-000639,bd90872630-13f.txt
Bridgewater,1350694,13F-HR,2008-05-01,0000914121-08-000387,bd033108-13f.txt
Bridgewater,1350694,13F-HR,2008-01-10,0000914121-08-000023,bd90872-13f.txt
Bridgewater,1350694,13F-HR,2007-10-25,0000914121-07-002366,bd093007-13f.txt
Bridgewater,1350694,13F-HR,2007-08-02,0000914121-07-001854,bd063007-13f.txt
Bridgewater,1350694,13F-HR,2007-05-15,0000914121-07-001236,bd90872-13f.txt
Bridgewater,1350694,13F-HR,2007-02-09,0000914121-07-000295,bd123106-13f.txt
Bridgewater,1350694,13F-HR,2006-11-03,0000914121-06-003376,bd093006-13f.txt
Bridgewater,1350694,13F-HR,2006-08-03,0000914121-06-002526,br90872-13f.txt
Bridgewater,1350694,13F-HR/A,2006-05-23,0000914121-06-001884,bd90871-13fa1.txt
Bridgewater,1350694,13F-HR/A,2006-05-23,0000914121-06-001882,bd90872-13fa2.txt
Bridgewater,1350694,13F-HR/A,2006-05-16,0000914121-06-001785,bd033106-13fa1.txt
Bridgewater,1350694,13FCONP,2006-05-08,9999999997-06-032445,9999999997-06-032445.paper
Bridgewater,1350694,13F-HR,2006-05-05,0000914121-06-001298,bd033106-13f.txt
Bridgewater,1350694,13FCONP,2006-02-15,9999999997-06-032446,9999999997-06-032446.paper
Bridgewater,1350694,13F-HR,2006-02-14,0000914121-06-000330,bd123105-13f.txt
