query,company,cik,form,filed,file_num,accession
"""US Global Jets""","Garde Capital, Inc.  (CIK 0001616328)",0001616328,13F-HR,2023-02-24,['028-16217'],0001616328-23-000001
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2023-02-14,['028-21947'],0001869164-23-000002
"""US Global Jets""",Ayalon Insurance Comp Ltd.  (CIK 0001642216),0001642216,13F-HR,2023-01-09,['028-16935'],0001178913-23-000103
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2022-11-14,['028-21947'],0001869164-22-000004
"""JETS""","SFI Advisors, LLC  (CIK 0001911308)",0001911308,13F-HR,2022-11-09,['028-22235'],0001606587-22-002219
"""US Global Jets""","Advisors Preferred, LLC  (CIK 0001598841)",0001598841,13F-HR,2022-11-07,['028-16005'],0001598841-22-000006
"""US Global Jets""",Ayalon Insurance Comp Ltd.  (CIK 0001642216),0001642216,13F-HR,2022-10-19,['028-16935'],0001178913-22-003648
"""US Global Jets""","WealthCare Investment Partners, LLC  (CIK 0001908462)",0001908462,13F-HR,2022-10-17,['028-21627'],0001908462-22-000005
"""JETS""","SFI Advisors, LLC  (CIK 0001911308)",0001911308,13F-HR,2022-08-11,['028-22235'],0001606587-22-001733
"""U S Global Jets""","Hudock, Inc.  (CIK 0001543536)",0001543536,13F-HR,2022-08-02,['028-15331'],0001606587-22-001564
"""US Global Jets""","USAdvisors Wealth Management, LLC  (CIK 0001735605)",0001735605,13F-HR,2022-06-08,['028-18704'],0001735605-22-000003
"""JETS""","SFI Advisors, LLC  (CIK 0001911308)",0001911308,13F-HR,2022-05-16,['028-22235'],0001606587-22-001217
"""JETS""",Turim 21 Investimentos Ltda.  (CIK 0001652174),0001652174,13F-HR,2022-05-13,['028-18160'],0001104659-22-060351
"""JETS""",CloudAlpha Capital Management Limited/Hong Kong  (CIK 0001745907),0001745907,13F-HR,2022-05-12,['028-21117'],0001745907-22-000004
"""US Global Jets""",Strategic Advisors LLC  (CIK 0001569119),0001569119,13F-HR,2022-05-10,['028-15246'],0001606587-22-001072
"""U S Global Jets""","Hudock, Inc.  (CIK 0001543536)",0001543536,13F-HR,2022-05-02,['028-15331'],0001606587-22-000833
"""JETS""","SFI Advisors, LLC  (CIK 0001911308)",0001911308,13F-HR,2022-02-15,['028-22235'],0001606587-22-000576
"""US Global Jets""",FORMULA GROWTH LTD  (CIK 0001093219),0001093219,13F-HR,2022-02-14,['028-17511'],0001567619-22-004356
"""US Global Jets""","Sepio Capital, LP  (CIK 0001751412)",0001751412,13F-HR,2022-01-25,['028-19152'],0001751412-22-000002
"""US Global Jets""","TFO-TDC, LLC  (CIK 0001698750)",0001698750,13F-HR,2022-01-21,['028-19687'],0001698750-22-000001
"""U S Global Jets""","Hudock, Inc.  (CIK 0001543536)",0001543536,13F-HR,2022-01-19,['028-15331'],0001606587-22-000037
"""US Global Jets""",ROBBINS FARLEY LLC  (CIK 0001847820),0001847820,13F-HR,2021-11-12,['028-21088'],0001847820-21-000006
"""US Global Jets""","TFO-TDC, LLC  (CIK 0001698750)",0001698750,13F-HR,2021-11-10,['028-19687'],0001698750-21-000004
"""U S Global Jets""","Hudock, Inc.  (CIK 0001543536)",0001543536,13F-HR,2021-11-09,['028-15331'],0001606587-21-001548
"""JETS""",J Arnold Wealth Management Co  (CIK 0001875202),0001875202,13F-HR,2021-09-08,['028-21367'],0001398344-21-018572
"""U S Global Jets""","Newbridge Financial Services Group, Inc.  (CIK 0001879757)",0001879757,13F-HR,2021-09-07,['028-21366'],0001879757-21-000006
"""U S Global Jets""","Newbridge Financial Services Group, Inc.  (CIK 0001879757)",0001879757,13F-HR,2021-09-07,['028-21366'],0001879757-21-000008
"""U S Global Jets""","Newbridge Financial Services Group, Inc.  (CIK 0001879757)",0001879757,13F-HR,2021-09-07,['028-21366'],0001879757-21-000009
"""U S Global Jets""","Newbridge Financial Services Group, Inc.  (CIK 0001879757)",0001879757,13F-HR,2021-09-07,['028-21366'],0001879757-21-000007
"""US Global Jets""",Berry Street Capital Management LLP  (CIK 0001804007),0001804007,13F-HR,2021-08-13,['028-20741'],0001804007-21-000004
"""JETS""","Darwin Advisors, LLC  (CIK 0001663224)",0001663224,13F-HR,2021-08-12,['028-17491'],0001606587-21-001169
"""JETS""","Ameraudi Asset Management, Inc.  (CIK 0001772954)",0001772954,13F-HR,2021-07-30,['028-19959'],0001606587-21-000981
"""US Global Jets""",Ayalon Holdings Ltd.  (CIK 0001642216),0001642216,13F-HR,2021-07-26,['028-16935'],0001178913-21-002361
"""US Global Jets""","TFO-TDC, LLC  (CIK 0001698750)",0001698750,13F-HR,2021-07-14,['028-19687'],0001698750-21-000003
"""US Global Jets""",Friedenthal Financial  (CIK 0001598611),0001598611,13F-HR,2021-07-14,['028-15722'],0001598611-21-000006
"""U S Global Jets""","Flagship Private Wealth, LLC  (CIK 0001842560)",0001842560,13F-HR,2021-07-09,['028-20523'],0001842560-21-000003
"""U S Global Jets""","Flagship Private Wealth, LLC  (CIK 0001842560)",0001842560,13F-HR/A,2021-07-09,['028-20523'],0001842560-21-000004
"""JETS""","Silverleafe Capital Partners, LLC  (CIK 0001535611)",0001535611,13F-HR,2021-07-06,['028-18358'],0001535611-21-000004
"""JETS""","Darwin Advisors, LLC  (CIK 0001663224)",0001663224,13F-HR,2021-05-17,['028-17491'],0001606587-21-000733
"""JETS""",ROBBINS FARLEY LLC  (CIK 0001847820),0001847820,13F-HR,2021-05-13,['028-21088'],0001847820-21-000004
"""JETS""","Cadent Capital Advisors, LLC  (CIK 0001803536)",0001803536,13F-HR,2021-05-12,['028-20745'],0001803536-21-000004
"""US Global Jets""",CAPITAL MANAGEMENT ASSOCIATES /NY/  (CIK 0000825293),0000825293,13F-HR,2021-05-12,['028-02183'],0000825293-21-000001
"""US Global Jets""",AXS Investments LLC  (CIK 0001801467),0001801467,13F-HR,2021-05-10,['028-21176'],0001801467-21-000003
"""JETS""","Summit Place Financial Advisors, LLC  (CIK 0001801413)",0001801413,13F-HR/A,2021-05-07,['028-19782'],0001801413-21-000003
"""U S Global Jets""","Interchange Capital Partners, LLC  (CIK 0001845998)",0001845998,13F-HR,2021-05-05,['028-20793'],0001606587-21-000592
"""JETS""",SPX Equities Gestao de Recursos Ltda  (CIK 0001589176),0001589176,13F-HR,2021-05-04,['028-18920'],0001589176-21-000012
"""JETS""","Ameraudi Asset Management, Inc.  (CIK 0001772954)",0001772954,13F-HR,2021-04-29,['028-19959'],0001606587-21-000483
