name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
First American Government Obli,FGXXX,31846V336,3352145.54,3352145.54,0.198719447,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Grupo Aeroportuario del Surest,ASR,40051E202,34638.0,10192924.26,0.6042495017,MX,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
JetBlue Airways Corp,JBLU,477143101,9781327.0,54286364.85,3.2181646871,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Japan Airport Terminal Co Ltd,9706,N/A,179942.0,7926381.29,0.4698859545,JP,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Qantas Airways Ltd,QAN,N/A,4506704.0,16491761.6,0.9776525829,AU,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Singapore Airlines Ltd,SIA,N/A,1718921.0,8544134.69,0.506507161,SG,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,129183.0,17227844.88,1.021288535,IE,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
SkyWest Inc,SKYW,830879102,957769.0,49995541.8,2.9637992446,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Southwest Airlines Co,LUV,844741108,6210347.0,179354821.36,10.632381707,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Sun Country Airlines Holdings,SNCY,866683105,2850525.0,44838758.25,2.6580985633,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Textron Inc,TXT,883203101,406705.0,32707216.1,1.9389253298,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,493117.0,17757143.17,1.0526660102,CN,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
TripAdvisor Inc,TRIP,896945201,1734180.0,37336895.4,2.2133786013,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
United Airlines Holdings Inc,UAL,910047109,4159899.0,171637432.74,10.1748851035,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,263672070.54,263672070.54,15.6308153759,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Turk Hava Yollari AO,THYAO,N/A,1812656.0,14061443.45,0.8335802349,TR,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,544767.0,9555317.76,0.5664513783,MX,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,N/A,2048961.0,7474470.67,0.4430961187,TR,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
International Consolidated Air,IAG,N/A,8180257.0,16161776.29,0.9580906344,GB,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Japan Airlines Co Ltd,9201,N/A,819872.0,16135778.72,0.9565494654,JP,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,330505.0,7284428.34,0.4318301679,TR,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Tongcheng Travel Holdings Ltd,780,G8918W106,4445765.0,8221405.72,0.4873753776,CN,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Wizz Air Holdings Plc,WIZZ,N/A,321473.0,9059905.97,0.5370827378,HU,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
MakeMyTrip Ltd,MMYT,N/A,181529.0,8528232.42,0.5055644542,IN,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Azul SA,AZUL,05501U106,792721.0,7681466.49,0.455367094,BR,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Boeing Co/The,BA,097023105,137266.0,35779755.56,2.1210693731,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Booking Holdings Inc,BKNG,09857L108,10151.0,36007830.22,2.1345899287,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Delta Air Lines Inc,DAL,247361702,4434509.0,178400297.07,10.5757962942,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Embraer SA,ERJ,29082A107,430251.0,7938130.95,0.4705824893,BR,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Expedia Group Inc,EXPE,30212P303,226674.0,34406846.46,2.0396815771,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,901265.0,8007353.09,0.4746860657,DE,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
easyJet PLC,EZJ,N/A,1337805.0,8696678.9,0.5155501756,GB,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Auckland International Airport,AIA,N/A,1409748.0,7842330.36,0.4649033086,NZ,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Bombardier Inc,BBD/B,097751861,882335.0,35431904.72,2.1004483333,CA,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Copa Holdings SA,CPA,N/A,165137.0,17555714.47,1.0407250609,PA,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Air Transport Services Group I,ATSG,00922R105,1982354.0,34909253.94,2.0694649309,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Alaska Air Group Inc,ALK,011659109,1387734.0,54218767.38,3.2141574232,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
Allegiant Travel Co,ALGT,01748X102,647055.0,53453213.55,3.1687744194,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
American Airlines Group Inc,AAL,02376R102,12675358.0,174159418.92,10.3243916488,US,2023-12-31,2024-02-27,0001145549-24-010826,2023_Q4,NPORT-P
