name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
TAV Havalimanlari Holding AS,TAVHL,M8782T109,5094796.0,15188619.72,0.6191177241,TR,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Amadeus IT Group SA,AMS,E04648114,466736.0,26001515.09,1.0598724007,ES,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
International Consolidated Air,IAG,E67674106,18864251.0,24713273.35,1.0073611582,GB,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
easyJet PLC,EZJ,G3030S109,2366521.0,10560890.56,0.4304824697,GB,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Japan Airlines Co Ltd,9201,J25979121,1721785.0,30138851.53,1.2285182927,JP,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,M7846J107,1533969.0,15715341.81,0.6405879425,TR,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Airports of Thailand PCL,AOT,Y0028Q145,7629070.0,15320717.58,0.6245022902,TH,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Tongcheng Travel Holdings Ltd,780,G8918W106,7782866.0,16742465.47,0.6824555035,CN,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Wizz Air Holdings Plc,WIZZ,G96871101,475895.0,10161046.76,0.4141840576,CH,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Air Canada,AC,008911877,5116153.0,63753180.64,2.5987038211,CA,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Aena SME SA,AENA,E526K0106,94056.0,11951175.8,0.4871532041,ES,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Airtrip Corp,6191,J0065P106,661293.0,12399243.75,0.5054173265,JP,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Copa Holdings SA,CPA,P31076105,424367.0,26892136.79,1.096175876,PA,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
