name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
International Consolidated Air,IAG,E67674106,807951.0,2158643.88,0.7147867868,GB,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Japan Airlines Co Ltd,9201,J25979121,187314.0,3466680.86,1.1479140657,JP,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Enav SpA,ENAV,T3R4KN103,827828.0,3663004.23,1.212922172,IT,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Wizz Air Holdings Plc,WIZZ,G96871101,101473.0,2907727.22,0.9628290315,CH,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Air Canada,AC,008911877,191226.0,2140133.23,0.7086573978,CA,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Copa Holdings SA,CPA,P31076105,67307.0,3048334.03,1.0093878413,PA,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Air Transport Services Group I,ATSG,00922R105,814668.0,14892131.04,4.9311971245,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Alaska Air Group Inc,ALK,011659109,382748.0,10896835.56,3.6082441147,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Allegiant Travel Co,ALGT,01748X102,135842.0,11111875.6,3.6794498289,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
American Airlines Group Inc,AAL,02376R102,3100897.0,37799934.43,12.5166054119,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Azul SA,AZUL,05501U106,199191.0,2029756.29,0.6721085353,BR,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Controladora Vuela Cia de Avia,VLRS,21240E105,608663.0,2087714.09,0.6912999684,MX,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Delta Air Lines Inc,DAL,247361702,1166867.0,33290715.51,11.0234781145,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Fidelity Government Portfolio,FIGXX,316175108,4514918.19,4514918.19,1.4950144836,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
General Dynamics Corp,GD,369550108,84471.0,11176358.01,3.7008017411,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Gol Linhas Aereas Inteligentes,GOL,38045R206,770181.0,3288672.87,1.0889706891,BR,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Grupo Aeroportuario del Centro,OMAB,400501102,92339.0,2487612.66,0.8237174628,MX,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Airbus SE,AIR,N0280G100,42214.0,2762742.65,0.9148206241,FR,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Hawaiian Holdings Inc,HA,419879101,763493.0,7970866.92,2.6393748437,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Finnair Oyj,FIA1S,X24877106,888234.0,3589378.38,1.1885426135,FI,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
JetBlue Airways Corp,JBLU,477143101,1206783.0,10800707.85,3.576413567,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Air France-KLM,AF,F01699135,744653.0,4186876.58,1.3863908192,FR,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Deutsche Lufthansa AG,LHA,D1908N106,361245.0,3411249.24,1.1295591207,DE,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Mesa Air Group Inc,MESA,590479135,2513004.0,8267783.16,2.7376920358,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Air New Zealand Ltd,AIR,Q0169V100,2769583.0,1404722.03,0.4651423773,NZ,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Qantas Airways Ltd,QAN,Q77974550,1490251.0,2960793.93,0.9804008892,AU,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,59340.0,3150360.6,1.043171665,IE,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
SkyWest Inc,SKYW,830879102,469855.0,12305502.45,4.0746927444,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Southwest Airlines Co,LUV,844741108,1160904.0,41339791.44,13.6887501279,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Spirit Airlines Inc,SAVE,848577102,795632.0,10255696.48,3.3959452047,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
United Airlines Holdings Inc,UAL,910047109,1009042.0,31835275.1,10.5415414765,US,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Celebi Hava Servisi AS,CLEBI,M2125D103,290434.0,2547185.12,0.8434435546,TR,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Dart Group PLC,DTG,G2657C132,342120.0,2341454.0,0.7753202816,GB,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
Aegean Airlines SA,AEGN,X18035109,538134.0,2463059.56,0.8155872512,GR,2020-03-31,2020-05-28,0001145549-20-029696,2020_Q1,NPORT-P
