name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
TripAdvisor Inc,TRIP,896945201,1913724.0,31729543.92,2.2987077324,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
United Airlines Holdings Inc,UAL,910047109,3154729.0,133445036.7,9.6676819082,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Turk Hava Yollari AO,THYAO,N/A,1622233.0,14347666.81,1.0394442706,TR,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Delta Air Lines Inc,DAL,247361702,3660873.0,135452301.0,9.8131020245,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Embraer SA,ERJ,29082A107,493719.0,6773824.68,0.4907427352,BR,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Expedia Group Inc,EXPE,30212P303,280138.0,28873823.66,2.091819595,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
First American Government Obli,FGXXX,31846V336,3656945.14,3656945.14,0.2649344123,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Frontier Group Holdings Inc,ULCC,35909R108,7178180.0,34742391.2,2.5169792385,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
General Dynamics Corp,GD,369550108,137394.0,30359952.18,2.1994850291,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,850940.0,6752820.89,0.4892210753,DE,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Cathay Pacific Airways Ltd,293,N/A,6969850.0,7155912.63,0.5184238304,HK,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Grupo Aeroportuario del Centro,OMAB,P49530101,648802.0,7052964.5,0.5109655554,MX,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
easyJet PLC,EZJ,N/A,1391466.0,7254434.14,0.5255614103,GB,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Flughafen Zurich AG,FHZN,N/A,37026.0,7070677.66,0.5122488193,CH,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Copa Holdings SA,CPA,N/A,149603.0,13332619.36,0.9659072092,PA,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Air Transport Services Group I,ATSG,00922R105,1432125.0,29888448.75,2.1653260578,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Alaska Air Group Inc,ALK,011659109,1133750.0,42039450.0,3.0456286741,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Allegiant Travel Co,ALGT,01748X102,524211.0,40290857.46,2.9189485302,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
American Airlines Group Inc,AAL,02376R102,10674111.0,136735361.91,9.9060558357,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Azul SA,AZUL,05501U106,892462.0,7666248.58,0.5553960981,BR,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Boeing Co/The,BA,097023105,137065.0,26272619.2,1.9033703433,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Booking Holdings Inc,BKNG,09857L108,9729.0,30003749.55,2.1736792456,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Grupo Aeroportuario del Surest,ASR,40051E202,29201.0,7174977.71,0.5198050367,MX,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Airbus SE,AIR,N/A,105767.0,14199179.21,1.0286868014,FR,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Hawaiian Holdings Inc,HA,419879101,5800720.0,36718557.6,2.6601464077,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
JetBlue Airways Corp,JBLU,477143101,7877417.0,36236118.2,2.6251951591,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
ANA Holdings Inc,9202,N/A,684648.0,14353601.34,1.0398742091,JP,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Skymark Airlines Inc,9204,N/A,942898.0,6782757.96,0.4913899238,JP,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Japan Airport Terminal Co Ltd,9706,N/A,162758.0,6901749.5,0.5000104944,JP,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Qantas Airways Ltd,QAN,N/A,2074100.0,6907754.62,0.5004455469,AU,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Singapore Airlines Ltd,SIA,N/A,3005432.0,14202699.87,1.0289418623,SG,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,154505.0,15019431.05,1.0881115209,IE,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
SkyWest Inc,SKYW,830879102,1047416.0,43928627.04,3.1824937322,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Southwest Airlines Co,LUV,844741108,4971879.0,134588764.53,9.7505414669,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Sun Country Airlines Holdings,SNCY,866683105,3082235.0,45740367.4,3.3137487412,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Textron Inc,TXT,883203101,398911.0,31170905.54,2.2582361023,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,405552.0,14182153.44,1.0274533368,CN,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,56927796.16,56927796.16,4.1242434984,US,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,430219.0,7063466.5,0.511726393,MX,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Aeroports de Paris SA,ADP,N/A,59181.0,7001484.27,0.5072359713,FR,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,N/A,1598854.0,7306614.37,0.5293417073,TR,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Amadeus IT Group SA,AMS,N/A,222799.0,13492548.21,0.9774935618,ES,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
International Consolidated Air,IAG,N/A,7676830.0,13862504.15,1.0042957302,GB,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Japan Airlines Co Ltd,9201,N/A,753050.0,14653836.99,1.0616253572,JP,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,227590.0,6841354.49,0.4956350619,TR,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Airports of Thailand PCL,AOT,N/A,3676746.0,7042994.4,0.5102432524,TH,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Air France-KLM,AF,N/A,520075.0,6542107.47,0.473955537,FR,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Bombardier Inc,BBD/B,097751861,772237.0,26926666.17,1.9507540319,CA,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Wizz Air Holdings Plc,WIZZ,N/A,288947.0,6768890.19,0.4903852466,HU,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Air Canada,AC,008911877,2779581.0,39660062.42,2.8732493723,CA,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
Aena SME SA,AENA,E526K0106,47781.0,7203648.15,0.5218821218,ES,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
MakeMyTrip Ltd,MMYT,N/A,197693.0,8010520.36,0.5803375283,IN,2023-09-30,2023-11-29,0001145549-23-074377,2023_Q3,NPORT-P
