name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Pebblebrook Hotel Trust,PEB,70509V100,8700.0,163560.0,0.788359125,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
PepsiCo Inc,PEP,713448108,3300.0,489390.0,2.3588595757,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Pfizer Inc,PFE,717081103,12500.0,460125.0,2.2178022891,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Park Hotels &amp; Resorts Inc,PK,700517105,10450.0,179217.5,0.8638282678,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Royal Caribbean Cruises Ltd,RCL,V7780T103,1950.0,145645.5,0.7020112432,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
VanEck Vectors Russia ETF,RSX,92189F403,1950.0,47092.5,0.2269858284,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Direxion Daily S&amp;P 500 Bull 3X,SPXL,25459W862,9300.0,671925.0,3.238678192,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Apple Inc,AAPL,037833100,5700.0,756333.0,3.6455247133,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Constellation Brands Inc,STZ,21036P108,2050.0,449052.5,2.1644328441,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
iShares MSCI Thailand ETF,THD,464286624,600.0,46242.0,0.2228864188,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Accenture PLC,ACN,G1151C101,1200.0,313452.0,1.5108384963,IE,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
AMC Networks Inc,AMCX,00164V103,5500.0,196735.0,0.9482626098,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Amazon.com Inc,AMZN,023135106,125.0,407116.25,1.9623001384,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Adtalem Global Education Inc,ATGE,00737L103,11700.0,397215.0,1.9145761179,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Broadcom Inc,AVGO,11135F101,850.0,372172.5,1.7938712794,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
AutoZone Inc,AZO,053332102,450.0,533448.0,2.5712191155,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
TripAdvisor Inc,TRIP,896945201,5950.0,171241.0,0.8253815415,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Tesla Inc,TSLA,88160R101,650.0,458685.5,2.2108638997,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Booking Holdings Inc,BKNG,09857L108,150.0,334090.5,1.6103160568,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Carnival Corp,CCL,143658300,15300.0,331398.0,1.5973382081,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Centene Corp,CNC,15135B101,4650.0,279139.5,1.345452262,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Cintas Corp,CTAS,172908105,1200.0,424152.0,2.0444124456,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
ProShares UltraPro S&amp;P 500,UPRO,74347X864,8750.0,672525.0,3.2415701917,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
United Therapeutics Corp,UTHR,91307C102,3650.0,554033.5,2.670441216,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Domino's Pizza Inc,DPZ,25754A201,550.0,210903.0,1.0165523633,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
iShares MSCI Peru ETF,EPU,464289842,600.0,20808.0,0.1002945505,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Viatris Inc,VTRS,92556V106,1477.002,27679.02,0.1334128637,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
Walgreens Boots Alliance Inc,WBA,931427108,5300.0,211364.0,1.0187743831,US,2020-12-31,2021-02-26,0001145549-21-012645,2020_Q4,NPORT-P
