name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Apple Inc,AAPL,037833100,3200.0,390880.0,1.9554074523,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Amazon.com Inc,AMZN,023135106,125.0,386760.0,1.9347968334,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Baidu Inc,BIDU,056752108,1040.0,226252.0,1.1318431409,CN,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Carnival Corp,CCL,143658300,6270.0,166405.8,0.8324578935,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Cummins Inc,CMI,231021106,940.0,243563.4,1.2184447592,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Corteva Inc,CTVA,22052L104,5080.0,236829.6,1.1847584035,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Electronic Arts Inc,EA,285512109,1820.0,246373.4,1.2325020017,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Netflix Inc,NFLX,64110L106,675.0,352120.5,1.7615100538,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Global X MSCI Norway ETF,NORW,37950E747,3550.0,49167.5,0.2459642241,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Pebblebrook Hotel Trust,PEB,70509V100,7010.0,170272.9,0.8518033606,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Pfizer Inc,PFE,717081103,10090.0,365560.7,1.8287456945,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Park Hotels &amp; Resorts Inc,PK,700517105,8420.0,181703.6,0.908986322,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
PVH Corp,PVH,693656100,2180.0,230426.0,1.1527238989,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Royal Caribbean Cruises Ltd,RCL,V7780T103,1570.0,134407.7,0.6723849218,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
ResMed Inc,RMD,761152107,1610.0,312372.2,1.5626661067,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
VanEck Vectors Russia ETF,RSX,92189F403,4330.0,111757.3,0.5590745428,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
SVB Financial Group,SIVB,78486Q101,980.0,483786.8,2.4201809099,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Direxion Daily S&amp;P 500 Bull 3X,SPXL,25459W862,8850.0,751807.5,3.7609752052,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,8590.0,340421.7,1.7029859013,CN,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
iShares MSCI Thailand ETF,THD,464286624,1340.0,110188.2,0.5512249986,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
TripAdvisor Inc,TRIP,896945201,4820.0,259267.8,1.2970072356,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Tesla Inc,TSLA,88160R101,650.0,434154.5,2.1718914878,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Universal Health Services Inc,UHS,913903100,2170.0,289456.3,1.4480275433,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
ProShares UltraPro S&amp;P 500,UPRO,74347X864,8350.0,754339.0,3.7736392299,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Viatris Inc,VTRS,92556V106,0.002,0.03,1.501e-07,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Western Digital Corp,WDC,958102105,8840.0,590070.0,2.9518708437,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
W R Berkley Corp,WRB,084423102,2120.0,159742.0,0.7991217183,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
West Pharmaceutical Services I,WST,955306105,1710.0,481843.8,2.410460902,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
Wynn Resorts Ltd,WYNN,983134107,1130.0,141668.1,0.7087056347,US,2021-03-31,2021-05-27,0001145549-21-031235,2021_Q1,NPORT-P
