name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Apple Inc,AAPL,037833100,2505.0,343084.8,2.0340734974,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Accenture PLC,ACN,G1151C101,1050.0,309529.5,1.8351315845,IE,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Allegion plc,ALLE,G0176J109,1870.0,260491.0,1.5443932212,IE,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Amazon.com Inc,AMZN,023135106,100.0,344016.0,2.0395943752,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Baidu Inc,BIDU,056752108,1105.0,225309.5,1.33580993,CN,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Biogen Inc,BIIB,09062X103,455.0,157552.85,0.9340958172,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
BorgWarner Inc,BWA,099724106,5740.0,278619.6,1.6518736599,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Crown Castle International Cor,CCI,22822V101,1040.0,202904.0,1.2029727022,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Carnival Corp,CCL,143658300,4675.0,123233.0,0.7306210573,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Cummins Inc,CMI,231021106,680.0,165790.8,0.9829367911,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Cintas Corp,CTAS,172908105,805.0,307510.0,1.823158418,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Corteva Inc,CTVA,22052L104,3605.0,159881.75,0.9479033475,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
iShares MSCI Peru ETF,EPU,464289842,875.0,25427.5,0.1507539939,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
iShares MSCI Australia ETF,EWA,464286103,3045.0,79109.1,0.4690202647,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
iShares MSCI Canada ETF,EWC,464286509,2335.0,87025.45,0.5159545437,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
iShares MSCI Austria ETF,EWO,464286202,1510.0,36194.7,0.2145903287,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
iShares MSCI Brazil ETF,EWZ,464286400,2005.0,81282.7,0.4819070558,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Facebook Inc,FB,30303M102,1075.0,373788.25,2.2161074259,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
FedEx Corp,FDX,31428X106,1355.0,404237.15,2.3966321839,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Fidelity Government Portfolio,FIGXX,316175108,2879736.7,2879736.7,17.0733186113,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
iShares China Large-Cap ETF,FXI,464287184,1660.0,76907.8,0.4559692465,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
Gilead Sciences Inc,GILD,375558103,4475.0,308148.5,1.8269439425,US,2021-06-30,2021-11-12,0001145549-21-065252,2021_Q2,NPORT-P/A
