name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Air Transport Services Group I,ATSG,00922R105,1763137.0,39265060.99,3.2676199065,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Alaska Air Group Inc,ALK,011659109,1284318.0,46569370.68,3.8754811232,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Allegiant Travel Co,ALGT,01748X102,427368.0,46672859.28,3.8840933958,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
American Airlines Group Inc,AAL,02376R102,7760507.0,101429826.49,8.440942451,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Azul SA,AZUL,05501U106,1036796.0,11591379.28,0.9646291315,BR,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Delta Air Lines Inc,DAL,247361702,4203493.0,117907978.65,9.812246523,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Fidelity Government Portfolio,FIGXX,316175108,32113603.76,32113603.76,2.6724789997,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
General Dynamics Corp,GD,369550108,263305.0,39353565.3,3.2749851936,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Gol Linhas Aereas Inteligentes,GOL,38045R206,1736778.0,11775354.84,0.979939491,BR,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Grupo Aeroportuario del Centro,OMAB,400501102,323329.0,12011672.35,0.999605723,MX,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Grupo Aeroportuario del Pacifi,PAC,400506101,170847.0,12270231.54,1.0211228972,MX,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Grupo Aeroportuario del Surest,ASR,40051E202,97970.0,11001051.3,0.9155023146,MX,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Hawaiian Holdings Inc,HA,419879101,2234109.0,31366890.36,2.6103378617,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
JetBlue Airways Corp,JBLU,477143101,4115619.0,44860247.1,3.7332486628,US,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Air Canada,AC,008911877,3602253.0,44975094.54,3.7428062127,CA,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Aena SME SA,AENA,E526K0106,81723.0,10898481.15,0.906966475,ES,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Flughafen Zurich AG,FHZN,H26552135,86309.0,11213929.92,0.9332179733,CH,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Copa Holdings SA,CPA,P31076105,229478.0,11602407.68,0.9655469097,PA,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Air France-KLM,AF,F01699135,2162702.0,9799318.23,0.8154946538,FR,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
Deutsche Lufthansa AG,LHA,D1908N106,1036586.0,10413841.47,0.8666349888,DE,2020-06-30,2020-08-26,0001145549-20-049929,2020_Q2,NPORT-P
