name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
JetBlue Airways Corp,JBLU,477143101,5647995.0,41908122.9,3.1015524388,US,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Japan Airport Terminal Co Ltd,9706,N/A,169401.0,6679578.34,0.4943447966,JP,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Norwegian Air Shuttle ASA,NAS,N/A,3943063.0,5945557.16,0.4400210755,NO,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,89383786.76,89383786.76,6.615149585,US,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,256393.0,6475151.47,0.4792154944,TR,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
MakeMyTrip Ltd,MMYT,N/A,107683.0,7650877.15,0.5662290516,IN,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Qantas Airways Ltd,QAN,N/A,3828766.0,13597799.19,1.0063511396,AU,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Singapore Airlines Ltd,SIA,N/A,1349322.0,6395601.41,0.473328123,SG,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,93569.0,13622710.71,1.0081948009,IE,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
SkyWest Inc,SKYW,830879102,579882.0,40058248.56,2.9646462289,US,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Southwest Airlines Co,LUV,844741108,4019423.0,117326957.37,8.6831784767,US,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Sun Country Airlines Holdings,SNCY,866683105,2600360.0,39239432.4,2.9040469683,US,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Textron Inc,TXT,883203101,288454.0,27671392.22,2.0479150123,US,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,N/A,1210016.0,6661908.97,0.4930371151,TR,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
Allegiant Travel Co,ALGT,01748X102,535655.0,40286612.55,2.9815470786,US,2024-03-31,2024-05-30,0001145549-24-035212,2024_Q1,NPORT-P
