name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Boeing Co/The,BA,097023105,278003.0,33660603.24,1.7770472957,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Booking Holdings Inc,BKNG,09857L108,23846.0,39183985.66,2.0686437273,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Delta Air Lines Inc,DAL,247361702,7037110.0,197461306.6,10.4245927618,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Embraer SA,ERJ,29082A107,1059342.0,9110341.2,0.4809630736,BR,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Southwest Airlines Co,LUV,844741108,5976571.0,184317449.64,9.7306879229,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Sun Country Airlines Holdings,SNCY,866683105,3100947.0,42203888.67,2.2280737423,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Textron Inc,TXT,883203101,683795.0,39837896.7,2.1031657125,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,873753.0,23862194.43,1.259759006,CN,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
TripAdvisor Inc,TRIP,896945201,1824603.0,40287234.24,2.1268876302,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
United Airlines Holdings Inc,UAL,910047109,5999319.0,195157847.07,10.3029860128,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,302415121.28,302415121.28,15.9654290687,US,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Turk Hava Yollari AO,THYAO,N/A,5476601.0,20910631.44,1.103936872,TR,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Air China Ltd,753,N/A,14244191.0,10887765.19,0.5747987803,CN,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,754589.0,9554368.03,0.5044046225,MX,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
Aeroports de Paris,ADP,N/A,82907.0,9669070.72,0.510460132,FR,2022-09-30,2022-11-29,0001145549-22-073029,2022_Q3,NPORT-P
