name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Alaska Air Group Inc,ALK,011659109,1084020.0,57648183.6,2.9728669356,US,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,1762372.0,18036802.98,0.9301423194,DE,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
SkyWest Inc,SKYW,830879102,1508208.0,61414229.76,3.1670786766,US,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Textron Inc,TXT,883203101,540139.0,36529600.57,1.8837998862,US,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,N/A,2200598.0,7896058.17,0.407192886,TR,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Air Canada,AC,008911877,3112977.0,58723000.74,3.0282943253,CA,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Airbus SE,AIR,N/A,127096.0,18356677.68,0.9466379808,FR,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,158549747.26,158549747.26,8.1762732464,US,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
easyJet PLC,EZJ,N/A,1405260.0,8612883.87,0.444158967,GB,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Japan Airlines Co Ltd,9201,N/A,879074.0,19007664.02,0.980208783,JP,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Grupo Aeroportuario del Surest,ASR,40051E202,30585.0,8493148.65,0.4379843253,MX,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Singapore Airlines Ltd,SIA,N/A,1662852.0,8791327.86,0.4533611691,SG,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,160157.0,17713364.2,0.9134628614,IE,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Amadeus IT Group SA,AMS,N/A,239974.0,18251661.68,0.9412223966,ES,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,729574.0,17302538.14,0.8922769171,TR,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Wizz Air Holdings Plc,WIZZ,N/A,260012.0,9031404.88,0.4657417333,CH,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
American Airlines Group Inc,AAL,02376R102,11529374.0,206836969.56,10.6664035093,US,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Azul SA,AZUL,05501U106,720114.0,9858360.66,0.5083871271,BR,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
Delta Air Lines Inc,DAL,247361702,4570483.0,217280761.82,11.2049808374,US,2023-06-30,2023-08-28,0001145549-23-053082,2023_Q2,NPORT-P
