name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Alaska Air Group Inc,ALK,011659109,1884186.0,110413299.6,2.9634398718,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Allegiant Travel Co,ALGT,01748X102,556391.0,108763312.68,2.9191550162,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
American Airlines Group Inc,AAL,02376R102,18300657.0,375529481.64,10.0790307233,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Azul SA,AZUL,05501U106,891500.0,17883490.0,0.4799842728,BR,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Boeing Co/The,BA,097023105,334809.0,73637891.46,1.9764055999,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Booking Holdings Inc,BKNG,09857L108,30745.0,72984633.15,1.9588724609,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Controladora Vuela Cia de Avia,VLRS,21240E105,873207.0,19044644.67,0.5111491058,MX,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Delta Air Lines Inc,DAL,247361702,8844732.0,376874030.52,10.1151177688,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Embraer SA,ERJ,29082A107,1090708.0,18542036.0,0.4976593308,BR,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Expedia Group Inc,EXPE,30212P303,488029.0,79987953.1,2.146838201,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
First American Government Obli,FGXXX,31846V336,10558998.17,10558998.17,0.2833984339,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
General Dynamics Corp,GD,369550108,351398.0,68884549.94,1.848828199,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Gol Linhas Aereas Inteligentes,GOL,38045R206,2365933.0,18052068.79,0.4845088464,BR,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Airbus SE,AIR,N0280G100,262862.0,35046236.77,0.9406241438,FR,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Hawaiian Holdings Inc,HA,419879101,5338054.0,115622249.64,3.1032455863,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
JetBlue Airways Corp,JBLU,477143101,7162115.0,109508738.35,2.9391618828,US,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Deutsche Lufthansa AG,LHA,D1908N106,5041290.0,34681132.06,0.9308249089,DE,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
ANA Holdings Inc,9202,J0156Q112,1486956.0,38818910.62,1.0418808959,JP,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Japan Airport Terminal Co Ltd,9706,J2620N105,385125.0,19101397.19,0.5126723162,JP,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Qantas Airways Ltd,QAN,Q77974550,4647262.0,19049735.79,0.511285749,AU,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Singapore Airlines Ltd,SIA,Y7992P128,9795097.0,36286152.53,0.9739028866,SG,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Fraport AG Frankfurt Airport S,FRA,D3856U108,281747.0,19620791.89,0.5266126202,DE,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,166500.0,18324990.0,0.4918339205,IE,2021-09-30,2021-11-29,0001145549-21-071668,2021_Q3,NPORT-P
