name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Alaska Air Group Inc,ALK,011659109,756806.0,34215199.26,3.1071182281,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Allegiant Travel Co,ALGT,01748X102,741429.0,40823080.74,3.7071868946,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
American Airlines Group Inc,AAL,02376R102,9088188.0,102151233.12,9.2764609095,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Boeing Co/The,BA,097023105,123802.0,18822856.08,1.7093233562,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Booking Holdings Inc,BKNG,09857L108,5218.0,21978842.16,1.9959217711,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Delta Air Lines Inc,DAL,247361702,2290902.0,116354912.58,10.5663119789,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Airbus SE,AIR,N/A,69753.0,10188666.62,0.9252435309,FR,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,1574640.0,11533512.77,1.0473704242,DE,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
ANA Holdings Inc,9202,N/A,240752.0,5140844.59,0.4668455037,JP,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Celebi Hava Servisi AS,CLEBI,N/A,93176.0,4999721.03,0.4540299248,TR,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Amadeus IT Group SA,AMS,N/A,145735.0,10531659.38,0.9563910642,ES,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
easyJet PLC,EZJ,N/A,782015.0,5436685.96,0.4937111697,GB,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Airports of Thailand PCL,AOT,N/A,2747799.0,5465282.76,0.4963080751,TH,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Bombardier Inc,BBD/B,097751861,320939.0,24420741.98,2.2176732619,CA,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Copa Holdings SA,CPA,N/A,56968.0,5345877.12,0.4854647234,PA,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
