name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Alaska Air Group Inc,ALK,011659109,1631317.0,68450061.32,3.7551089284,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Allegiant Travel Co,ALGT,01748X102,763248.0,70203551.04,3.8513038007,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
American Airlines Group Inc,AAL,02376R102,13202734.0,194740326.5,10.6832795276,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Azul SA,AZUL,05501U106,1457883.0,10423863.45,0.5718437932,BR,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Boeing Co/The,BA,097023105,188497.0,40042417.71,2.1966910965,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Booking Holdings Inc,BKNG,09857L108,15179.0,40260931.39,2.2086785609,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Delta Air Lines Inc,DAL,247361702,5522729.0,192853696.68,10.579780709,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Embraer SA,ERJ,29082A107,709307.0,11611355.59,0.6369885462,BR,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Qantas Airways Ltd,QAN,N/A,4543733.0,20106625.98,1.1030314551,AU,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Singapore Airlines Ltd,SIA,N/A,2299903.0,9902648.17,0.5432503907,SG,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,204656.0,19297014.24,1.0586168817,IE,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Sabre Corp,SABR,78573M104,7810673.0,33507787.17,1.8382071301,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Southwest Airlines Co,LUV,844741108,6466356.0,210415224.24,11.5431903491,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Textron Inc,TXT,883203101,534143.0,37726520.09,2.0696430317,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,541414.0,20395065.38,1.1188549817,CN,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
TripAdvisor Inc,TRIP,896945201,1892640.0,37587830.4,2.0620346398,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
United Airlines Holdings Inc,UAL,910047109,3997430.0,176886277.5,9.7038224239,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,190483674.31,190483674.31,10.4497634089,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Turk Hava Yollari AO,THYAO,N/A,2636645.0,16290436.79,0.8936787412,TR,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Air China Ltd,753,N/A,10308994.0,9219115.9,0.5057524239,CN,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,517955.0,10104146.57,0.5543044121,MX,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Aeroports de Paris,ADP,N/A,64358.0,9188715.4,0.5040846797,FR,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,N/A,2326460.0,8964018.56,0.4917580128,TR,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Amadeus IT Group SA,AMS,N/A,156913.0,10492859.17,0.5756288365,ES,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
International Consolidated Air,IAG,N/A,11247057.0,20947407.8,1.1491559911,GB,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
easyJet PLC,EZJ,N/A,1553013.0,9931436.14,0.5448296729,GB,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Japan Airlines Co Ltd,9201,N/A,1040523.0,20234459.69,1.1100442977,JP,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,716346.0,16919353.37,0.9281805403,TR,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Airports of Thailand PCL,AOT,N/A,4775215.0,9914907.59,0.5439229315,TH,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Tongcheng Travel Holdings Ltd,780,G8918W106,4734814.0,10302121.44,0.5651651358,CN,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Bombardier Inc,BBD/B,097751861,769443.0,42004812.83,2.3043463315,CA,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Wizz Air Holdings Plc,WIZZ,N/A,277203.0,10166344.11,0.5577165133,CH,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Air Canada,AC,008911877,5301744.0,75122750.72,4.12116668,CA,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Adventure Inc,6030,N/A,131859.0,10079976.28,0.5529784517,JP,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Aena SME SA,AENA,E526K0106,62668.0,10119800.02,0.5551631463,ES,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Copa Holdings SA,CPA,N/A,205400.0,18968690.0,1.0406053085,PA,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
Expedia Group Inc,EXPE,30212P303,363504.0,35270793.12,1.9349240542,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
First American Government Obli,FGXXX,31846V336,14719217.15,14719217.15,0.807483042,US,2023-03-31,2023-05-30,0001145549-23-034851,2023_Q1,NPORT-P
