name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Air Transport Services Group I,ATSG,00922R105,1829302.0,25372418.74,2.2007307499,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Alaska Air Group Inc,ALK,011659109,859742.0,34733576.8,3.0126907214,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Allegiant Travel Co,ALGT,01748X102,651912.0,32745539.76,2.8402540968,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
American Airlines Group Inc,AAL,02376R102,10188144.0,115431671.52,10.0122117497,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Boeing Co/The,BA,097023105,125199.0,22787469.99,1.9765197175,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Booking Holdings Inc,BKNG,09857L108,6106.0,24188919.0,2.0980773806,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Delta Air Lines Inc,DAL,247361702,2336681.0,110852146.64,9.6149969107,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Airbus SE,AIR,N/A,72177.0,9914240.45,0.85993275,FR,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,1737566.0,10625437.07,0.9216199027,DE,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
ANA Holdings Inc,9202,N/A,611144.0,11279707.3,0.9783694239,JP,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Cathay Pacific Airways Ltd,293,N/A,5488396.0,5615572.19,0.4870786078,HK,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
El Al Israel Airlines,ELAL,N/A,5153296.0,5675556.33,0.4922814599,IL,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Southwest Airlines Co,LUV,844741108,4120560.0,117889221.6,10.2253725873,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
Spirit Airlines Inc,SAVE,848577102,9979504.0,36524984.64,3.1680722938,US,2024-06-30,2024-08-22,0001145549-24-048752,2024_Q2,NPORT-P
