name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Alaska Air Group Inc,ALK,011659109,1924353.0,100258791.3,3.1028207502,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Allegiant Travel Co,ALGT,01748X102,523962.0,98001852.48,3.0329727447,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
American Airlines Group Inc,AAL,02376R102,18021757.0,323670755.72,10.0170002456,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Azul SA,AZUL,05501U106,1231437.0,16254968.4,0.5030606552,BR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Boeing Co/The,BA,097023105,308063.0,62019243.16,1.9193787606,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Booking Holdings Inc,BKNG,09857L108,28648.0,68733141.04,2.1271612542,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Controladora Vuela Cia de Avia,VLRS,21240E105,1005166.0,18062833.02,0.5590106601,MX,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Delta Air Lines Inc,DAL,247361702,8482879.0,331510911.32,10.2596382942,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Embraer SA,ERJ,29082A107,2231082.0,39601705.5,1.2255981942,BR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Expedia Group Inc,EXPE,30212P303,387579.0,70043276.88,2.1677074907,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
First American Government Obli,FGXXX,31846V336,8723967.67,8723967.67,0.2699903675,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
General Dynamics Corp,GD,369550108,321593.0,67042492.71,2.0748388727,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Gol Linhas Aereas Inteligentes,GOL,38045R206,2624171.0,15876234.55,0.4913395559,BR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Airbus SE,AIR,N0280G100,272540.0,34863772.3,1.0789680857,FR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Hawaiian Holdings Inc,HA,419879101,4893938.0,89901641.06,2.7822864583,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
JetBlue Airways Corp,JBLU,477143101,6813802.0,97028540.48,3.0028505716,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Amadeus IT Group SA,AMS,E04648114,484737.0,32913661.62,1.0186158332,ES,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
International Consolidated Air,IAG,E67674106,17285255.0,33335180.46,1.0316610474,GB,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
easyJet PLC,EZJ,G3030S109,2162163.0,16271827.67,0.5035824179,GB,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Japan Airlines Co Ltd,9201,J25979121,1658138.0,31654968.69,0.9796616578,JP,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,M7846J107,2133926.0,13703002.02,0.4240821025,TR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Airports of Thailand PCL,AOT,Y0028Q145,8784521.0,16041184.88,0.496444458,TH,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Tongcheng Travel Holdings Ltd,780,G8918W106,7129152.0,13202217.99,0.40858378,CN,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Cargojet Inc,CJT,14179V503,475481.0,62611858.31,1.9377190833,CA,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Wizz Air Holdings Plc,WIZZ,G96871101,270233.0,15318568.0,0.4740808266,CH,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Air Canada,AC,008911877,5627938.0,94010300.75,2.9094417369,CA,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Aena SME SA,AENA,E526K0106,213000.0,33659019.75,1.0416832634,ES,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Airtrip Corp,6191,J0065P106,512517.0,13678407.29,0.4233209419,JP,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Flughafen Zurich AG,FHZN,H26552135,92927.0,16735426.58,0.517929931,CH,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Copa Holdings SA,CPA,P31076105,212900.0,17598314.0,0.5446346713,PA,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Air France-KLM,AF,F01699135,3658551.0,16123698.89,0.4989981112,FR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Deutsche Lufthansa AG,LHA,D1908N106,4569369.0,32149713.01,0.9949730627,DE,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
ANA Holdings Inc,9202,J0156Q112,1528375.0,31947993.46,0.9887302225,JP,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Japan Airport Terminal Co Ltd,9706,J2620N105,342658.0,14298516.91,0.4425121667,JP,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Qantas Airways Ltd,QAN,Q77974550,4445720.0,16204715.38,0.5015054189,AU,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Singapore Airlines Ltd,SIA,Y7992P128,4346593.0,16094908.78,0.4981071115,SG,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Fraport AG Frankfurt Airport S,FRA,D3856U108,242622.0,16346980.09,0.5059082437,DE,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,160902.0,16465101.66,0.5095638838,IE,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Sabre Corp,SABR,78573M104,7220202.0,62021535.18,1.9194496943,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
SkyWest Inc,SKYW,830879102,2361220.0,92795946.0,2.8718597446,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Southwest Airlines Co,LUV,844741108,7130887.0,305487199.08,9.4542534169,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Spirit Airlines Inc,SAVE,848577102,4209848.0,91985178.8,2.8467680269,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Sun Country Airlines Holdings,SNCY,866683105,3612469.0,98439780.25,3.0465257843,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Textron Inc,TXT,883203101,858954.0,66311248.8,2.0522082511,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,1169192.0,28785507.04,0.8908572245,CN,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
TripAdvisor Inc,TRIP,896945201,2402224.0,65484626.24,2.0266258398,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
United Airlines Holdings Inc,UAL,910047109,7442709.0,325841800.02,10.0841899774,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,545653443.77,545653443.77,16.8869463294,US,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Turk Hava Yollari AO,THYAO,M8926R100,22233398.0,33646732.78,1.0413030049,TR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,1295665.0,17893978.11,0.5537849186,MX,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
Aeroports de Paris,ADP,F00882104,130030.0,16772811.52,0.5190869244,FR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,M8782T109,5661383.0,13994045.21,0.433089341,TR,2021-12-31,2022-02-25,0001145549-22-010476,2021_Q4,NPORT-P
